PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_RS_TIER,COMPOSITE_TIER_SCORE,MIN_RS,MIN_PO,GP_RS,GP_PO,FGA_PO,reliability_factor,PTS_RS,PTS_PO,PTS_change,PTS_z,PTS_impact,TS_PCT_RS,TS_PCT_PO,TS_PCT_change,TS_PCT_z,TS_PCT_impact,AST_RS,AST_PO,AST_change,AST_z,AST_impact,PCT_TOV_RS,PCT_TOV_PO,PCT_TOV_change,PCT_TOV_z,PCT_TOV_impact,REB_RS,REB_PO,REB_change,REB_z,REB_impact,STL_RS,STL_PO,STL_change,STL_z,STL_impact,BLK_RS,BLK_PO,BLK_change,BLK_z,BLK_impact,total_impact_score,rank
202695,Kawhi Leonard,LAC,Tier3,18.3,31.9,37.8,37,7,17.6,0.71,21.5,25.0,3.5,1.38,0.4312,0.589,0.63,0.041,1.175,0.1836,3.1,4.7,1.6,2.495,0.4433,0.241,0.273,-0.032,-1.003,-0.0356,5.9,7.6,1.7,1.421,0.1387,1.6,1.1,-0.5,-1.101,-0.0195,0.5,0.7,0.2,0.708,0.0126,1.1543,1
1628378,Donovan Mitchell,CLE,Tier2,19.675,31.4,32.0,71,9,21.6,0.82,24.0,29.6,5.6,2.198,1.1248,0.575,0.57,-0.005,0.32,0.063,5.0,3.9,-1.1,-0.564,-0.0809,0.261,0.246,0.015,-0.073,-0.003,4.5,4.7,0.2,-0.06,-0.0061,1.3,1.9,0.6,2.175,0.0446,0.2,0.3,0.1,0.0,0.0,1.1423,2
1628369,Jayson Tatum,BOS,Tier1,22.025,36.4,40.2,72,8,21.9,0.95,26.8,28.1,1.3,0.832,0.411,0.582,0.566,-0.016,0.173,0.0427,6.0,5.4,-0.6,0.174,0.0377,0.332,0.286,0.046,0.407,0.0251,8.7,11.5,2.8,2.5,0.5017,1.1,2.1,1.0,2.5,0.0594,0.5,0.8,0.3,1.138,0.027,1.1046,3
203507,Giannis Antetokounmpo,MIL,Tier1,24.86,34.2,37.6,67,5,19.8,0.62,30.4,33.0,2.6,1.418,0.4573,0.625,0.651,0.026,1.121,0.2349,6.5,6.6,0.1,1.093,0.1542,0.342,0.489,-0.147,-2.5,-0.1008,11.9,15.4,3.5,2.5,0.3274,0.9,1.0,0.1,0.519,0.008,1.2,1.0,-0.2,-0.362,-0.0056,1.0755,4
1628973,Jalen Brunson,NYK,Tier1,21.31,35.4,37.8,65,18,21.8,1.0,26.0,29.4,3.4,1.521,0.7911,0.605,0.582,-0.023,0.181,0.0472,7.3,7.0,-0.3,0.706,0.1606,0.265,0.284,-0.019,-0.788,-0.0394,2.9,3.4,0.5,0.096,0.0157,0.9,0.4,-0.5,-1.318,-0.0329,0.1,0.3,0.2,0.337,0.0084,0.9506,5
1630162,Anthony Edwards,MIN,Tier1,21.73,36.3,39.0,79,15,19.9,1.0,27.6,25.3,-2.3,-0.372,-0.1488,0.595,0.564,-0.031,-0.009,-0.0018,4.5,5.5,1.0,1.939,0.5736,0.293,0.214,0.079,1.181,0.0767,5.7,7.8,2.1,1.773,0.3746,1.2,1.1,-0.1,0.0,0.0,0.6,0.7,0.1,0.371,0.0093,0.8836,6
203944,Julius Randle,MIN,Tier3,17.52,32.3,35.6,69,15,15.3,1.0,18.7,21.7,3.0,1.099,0.4838,0.593,0.622,0.029,0.995,0.2188,4.7,4.9,0.2,0.987,0.19,0.292,0.283,0.009,-0.269,-0.0134,7.1,5.9,-1.2,-1.151,-0.1438,0.7,0.8,0.1,0.457,0.0114,0.2,0.1,-0.1,-0.86,-0.0215,0.7252,7
1631094,Paolo Banchero,ORL,Tier2,20.785,34.4,39.4,46,5,24.8,0.59,25.9,29.4,3.5,1.552,0.5713,0.551,0.517,-0.034,-0.303,-0.0358,4.8,4.2,-0.6,0.022,0.0027,0.305,0.357,-0.052,-1.564,-0.06,7.5,8.4,0.9,0.806,0.0714,0.8,0.6,-0.2,-0.43,-0.0063,0.6,0.8,0.2,0.801,0.0118,0.5551,8
1629018,Gary Trent Jr.,MIL,Tier4,12.105,25.6,34.2,74,5,12.4,0.43,11.1,18.8,7.7,2.416,0.3324,0.591,0.708,0.117,2.472,0.1701,1.2,1.2,0.0,0.299,0.018,0.089,0.068,0.021,0.444,0.0076,2.3,2.2,-0.1,-0.499,-0.0268,1.0,2.6,1.6,2.5,0.0269,0.1,0.0,-0.1,-0.953,-0.0102,0.5179,9
1630578,Alperen Sengun,HOU,Tier3,17.77,31.5,36.6,76,7,18.7,0.69,19.1,20.9,1.8,0.703,0.2135,0.545,0.491,-0.054,-0.674,-0.0931,4.9,5.3,0.4,1.257,0.1669,0.3,0.227,0.073,1.04,0.0395,10.3,11.9,1.6,1.657,0.1572,1.1,1.9,0.8,2.5,0.0431,0.8,0.4,-0.4,-1.593,-0.0275,0.4998,10
1630558,Davion Mitchell,MIA,Tier4,11.25,27.4,35.5,74,4,10.3,0.36,7.9,15.0,7.1,2.085,0.2402,0.573,0.681,0.108,2.22,0.1279,4.9,6.3,1.4,2.479,0.1249,0.217,0.2,0.017,0.069,0.001,2.3,2.3,0.0,-0.407,-0.0183,1.0,0.8,-0.2,-0.368,-0.0033,0.2,0.3,0.1,0.0,0.0,0.4724,11
1630595,Cade Cunningham,DET,Tier1,21.89,35.0,41.3,70,6,21.5,0.77,26.1,25.0,-1.1,-0.019,-0.0057,0.565,0.509,-0.056,-0.598,-0.0921,9.1,8.7,-0.4,0.812,0.1422,0.404,0.368,0.036,0.035,0.0018,6.1,8.3,2.2,1.895,0.3082,1.0,1.8,0.8,2.5,0.0481,0.8,1.3,0.5,2.277,0.0438,0.4464,12
1627832,Fred VanVleet,HOU,Tier4,14.155,35.2,40.0,60,7,13.3,0.7,14.1,18.7,4.6,1.469,0.3291,0.515,0.632,0.117,2.052,0.2298,5.6,4.4,-1.2,-0.61,-0.0747,0.161,0.173,-0.012,-0.405,-0.0142,3.7,4.1,0.4,0.064,0.0045,1.6,1.0,-0.6,-1.407,-0.0246,0.4,0.3,-0.1,-0.674,-0.0118,0.4381,13
1630532,Franz Wagner,ORL,Tier2,19.71,33.7,38.9,60,5,23.0,0.59,24.2,25.8,1.6,0.834,0.2361,0.558,0.51,-0.048,-0.501,-0.0591,4.7,5.6,0.9,1.842,0.2968,0.251,0.222,0.029,0.24,0.0085,5.7,4.8,-0.9,-0.98,-0.0722,1.3,1.2,-0.1,0.031,0.0005,0.4,0.4,0.0,-0.244,-0.0036,0.4068,14
1628401,Derrick White,BOS,Tier4,16.135,33.9,37.8,76,11,13.4,1.0,16.4,18.8,2.4,0.804,0.2573,0.606,0.636,0.03,1.083,0.1733,4.8,3.5,-1.3,-0.833,-0.1459,0.212,0.117,0.095,1.698,0.0679,4.5,5.1,0.6,0.307,0.0307,0.9,0.6,-0.3,-0.706,-0.0176,1.1,1.1,0.0,0.405,0.0101,0.3759,15
203932,Aaron Gordon,DEN,Tier4,15.37,28.4,37.3,51,14,11.9,1.0,14.7,16.2,1.5,0.429,0.1372,0.65,0.601,-0.049,-0.009,-0.0019,3.2,2.7,-0.5,-0.059,-0.0103,0.166,0.168,-0.002,-0.209,-0.0104,4.8,7.6,2.8,2.349,0.2349,0.5,0.6,0.1,0.395,0.0099,0.3,0.4,0.1,0.093,0.0023,0.3617,16
2544,LeBron James,LAL,Tier1,21.46,34.9,40.7,70,5,17.6,0.66,24.4,25.4,1.0,0.636,0.2181,0.604,0.601,-0.003,0.514,0.0882,8.2,5.6,-2.6,-1.991,-0.2989,0.363,0.213,0.15,2.493,0.139,7.8,9.0,1.2,1.104,0.1184,1.0,2.0,1.0,2.5,0.0412,0.6,1.8,1.2,2.5,0.0412,0.3474,17
1630183,Jaden McDaniels,MIN,Tier4,13.075,31.9,33.1,82,15,11.3,1.0,12.2,14.7,2.5,0.674,0.2158,0.562,0.607,0.045,1.094,0.175,2.0,1.5,-0.5,-0.211,-0.0369,0.124,0.115,0.009,0.115,0.0046,5.7,5.6,-0.1,-0.245,-0.0307,1.3,1.3,0.0,0.337,0.0084,0.9,0.9,0.0,0.219,0.0055,0.3417,18
1629614,Andrew Nembhard,IND,Tier4,12.195,28.9,33.4,65,23,9.7,1.0,10.0,12.5,2.5,0.589,0.1884,0.545,0.59,0.045,1.0,0.112,5.0,4.7,-0.3,0.414,0.058,0.233,0.199,0.034,0.385,0.0154,3.3,3.2,-0.1,-0.424,-0.053,1.2,1.5,0.3,1.225,0.0306,0.2,0.2,0.0,-0.43,-0.0108,0.3405,19
1627783,Pascal Siakam,IND,Tier3,17.975,32.7,33.5,78,23,14.8,1.0,20.2,20.5,0.3,0.232,0.1019,0.599,0.598,-0.001,0.52,0.1145,3.4,3.4,0.0,0.578,0.1112,0.169,0.141,0.028,0.406,0.0224,6.9,6.3,-0.6,-0.615,-0.0769,0.9,1.2,0.3,1.132,0.0283,0.5,0.7,0.2,0.708,0.0177,0.3191,20
202710,Jimmy Butler III,GSW,Tier4,17.17,31.7,36.0,55,11,13.8,0.99,17.5,19.2,1.7,0.607,0.1922,0.626,0.564,-0.062,-0.362,-0.0717,5.4,5.2,-0.2,0.587,0.0814,0.155,0.116,0.039,0.667,0.0264,5.4,6.6,1.2,0.925,0.0916,1.4,1.3,-0.1,0.062,0.0015,0.3,0.3,0.0,-0.337,-0.0083,0.3131,21
1629029,Luka Dončić,LAL,Tier1,23.125,35.4,41.6,50,5,20.8,0.67,28.2,30.2,2.0,1.127,0.3926,0.587,0.608,0.021,0.826,0.1439,7.7,5.8,-1.9,-1.199,-0.1406,0.369,0.333,0.036,0.115,0.005,8.2,7.0,-1.2,-1.069,-0.0895,1.8,1.0,-0.8,-1.957,-0.0328,0.4,0.6,0.2,0.616,0.0103,0.289,22
1630590,Scotty Pippen Jr.,MEM,Tier4,12.365,21.3,32.2,79,4,14.5,0.32,9.9,18.3,8.4,2.5,0.256,0.582,0.55,-0.032,-0.098,-0.0063,4.4,3.5,-0.9,-0.395,-0.0221,0.249,0.304,-0.055,-1.498,-0.024,3.3,5.5,2.2,1.686,0.054,1.3,1.0,-0.3,-0.581,-0.0047,0.4,0.3,-0.1,-0.674,-0.0054,0.2475,23
1631105,Jalen Duren,DET,Tier4,15.15,26.1,33.9,78,6,6.7,0.51,11.8,11.8,0.0,-0.199,-0.0406,0.703,0.708,0.005,1.197,0.0684,2.7,3.5,0.8,1.467,0.1047,0.213,0.159,0.054,0.845,0.0172,10.3,10.7,0.4,0.556,0.0284,0.7,0.3,-0.4,-1.074,-0.0137,1.1,1.7,0.6,2.5,0.0319,0.1963,24
1627750,Jamal Murray,DEN,Tier2,18.625,36.1,41.3,67,14,17.9,1.0,21.4,21.8,0.4,0.313,0.1501,0.584,0.555,-0.029,-0.036,-0.0072,6.0,5.2,-0.8,-0.07,-0.0123,0.216,0.259,-0.043,-1.174,-0.0587,3.9,4.9,1.0,0.63,0.0945,1.4,1.2,-0.2,-0.244,-0.0061,0.5,0.8,0.3,1.138,0.0285,0.1888,25
1627759,Jaylen Brown,BOS,Tier2,18.645,34.3,36.6,63,11,17.7,1.0,22.2,22.1,-0.1,0.172,0.0827,0.555,0.542,-0.013,0.074,0.0178,4.5,3.9,-0.6,-0.016,-0.0028,0.316,0.345,-0.029,-1.112,-0.0556,5.8,7.1,1.3,1.047,0.157,1.2,1.0,-0.2,-0.306,-0.0077,0.3,0.3,0.0,-0.337,-0.0084,0.1831,26
202699,Tobias Harris,DET,Tier4,13.995,31.6,38.8,73,6,11.8,0.58,13.7,15.7,2.0,0.561,0.1042,0.571,0.602,0.031,0.907,0.0841,2.2,0.5,-1.7,-1.652,-0.1677,0.119,0.077,0.042,0.811,0.0188,5.9,7.7,1.8,1.513,0.0878,1.0,1.0,0.0,0.244,0.0035,0.8,1.2,0.4,1.847,0.0268,0.1575,27
1631114,Jalen Williams,OKC,Tier2,18.6,32.4,34.6,69,23,17.2,1.0,21.6,21.4,-0.2,0.115,0.055,0.573,0.544,-0.029,-0.097,-0.0194,5.1,4.8,-0.3,0.427,0.0896,0.27,0.217,0.053,0.694,0.0416,5.3,5.5,0.2,0.0,0.0,1.6,1.4,-0.2,-0.182,-0.0046,0.7,0.4,-0.3,-1.256,-0.0314,0.131,28
1630169,Tyrese Haliburton,IND,Tier3,18.285,33.6,33.6,73,23,13.7,1.0,18.6,17.3,-1.3,-0.38,-0.1519,0.616,0.581,-0.035,0.039,0.0087,9.2,8.6,-0.6,0.58,0.1117,0.196,0.248,-0.052,-1.314,-0.0657,3.5,5.3,1.8,1.334,0.1834,1.4,1.3,-0.1,0.062,0.0016,0.7,0.7,0.0,0.034,0.0008,0.0886,29
1628983,Shai Gilgeous-Alexander,OKC,Tier1,25.07,34.2,37.0,76,23,21.9,1.0,32.7,29.9,-2.8,-0.345,-0.0965,0.637,0.574,-0.063,-0.318,-0.0636,6.4,6.5,0.1,1.081,0.2458,0.309,0.305,0.004,-0.411,-0.0206,5.0,5.3,0.3,0.069,0.0113,1.7,1.7,0.0,0.461,0.0115,1.0,0.9,-0.1,-0.118,-0.0029,0.085,30
1629060,Rui Hachimura,LAL,Tier4,13.84,31.7,36.4,59,5,11.4,0.46,13.1,14.8,1.7,0.435,0.064,0.619,0.634,0.015,0.902,0.0664,1.4,1.0,-0.4,-0.165,-0.0133,0.093,0.132,-0.039,-0.809,-0.0186,5.0,4.6,-0.4,-0.573,-0.0329,0.8,0.6,-0.2,-0.43,-0.0049,0.4,0.6,0.2,0.616,0.0071,0.0677,31
1628976,Wendell Carter Jr.,ORL,Tier4,11.57,25.9,32.4,68,5,8.0,0.4,9.1,10.2,1.1,0.073,0.0094,0.544,0.574,0.03,0.741,0.0332,2.0,1.2,-0.8,-0.578,-0.0404,0.151,0.229,-0.078,-1.751,-0.035,7.2,10.8,3.6,2.5,0.1,0.8,0.4,-0.4,-1.043,-0.0104,0.6,0.4,-0.2,-0.919,-0.0092,0.0475,32
201935,James Harden,LAC,Tier2,20.265,35.3,39.4,79,7,14.4,0.79,22.8,18.7,-4.1,-1.177,-0.3718,0.582,0.567,-0.015,0.19,0.036,8.7,9.1,0.4,1.739,0.375,0.398,0.333,0.065,0.65,0.0308,5.8,5.4,-0.4,-0.513,-0.0507,1.5,1.3,-0.2,-0.213,-0.0042,0.7,1.0,0.3,1.324,0.0261,0.0413,33
1630596,Evan Mobley,CLE,Tier3,17.775,30.5,32.1,71,8,10.9,0.69,18.5,17.1,-1.4,-0.418,-0.1153,0.633,0.699,0.066,1.841,0.3634,3.2,1.6,-1.6,-1.403,-0.1694,0.244,0.183,0.061,0.919,0.0349,9.3,8.1,-1.2,-0.987,-0.0766,0.9,1.1,0.2,0.826,0.0142,1.6,1.0,-0.6,-1.711,-0.0295,0.0216,34
201939,Stephen Curry,GSW,Tier2,20.59,32.2,35.1,70,8,16.3,0.8,24.5,22.6,-1.9,-0.356,-0.1138,0.618,0.636,0.018,0.947,0.1818,6.0,5.1,-0.9,-0.192,-0.0269,0.299,0.386,-0.087,-2.276,-0.1183,4.4,5.3,0.9,0.575,0.069,1.1,1.0,-0.1,-0.031,-0.0006,0.4,0.8,0.4,1.476,0.0295,0.0207,35
1627826,Ivica Zubac,LAC,Tier3,17.375,32.8,36.6,80,7,11.7,0.69,16.8,17.4,0.6,0.202,0.0613,0.641,0.653,0.012,0.972,0.1476,2.7,2.3,-0.4,0.0,0.0,0.156,0.186,-0.03,-0.767,-0.0265,12.6,10.1,-2.5,-1.934,-0.1951,0.7,0.7,0.0,0.151,0.0026,1.1,1.0,-0.1,-0.025,-0.0004,-0.0105,36
1628389,Bam Adebayo,MIA,Tier4,17.175,34.3,38.4,78,4,16.0,0.38,18.1,17.5,-0.6,-0.159,-0.0242,0.561,0.508,-0.053,-0.569,-0.0433,4.3,4.3,0.0,0.692,0.0368,0.217,0.267,-0.05,-1.321,-0.0251,9.6,11.0,1.4,1.422,0.054,1.3,1.0,-0.3,-0.581,-0.0055,0.7,0.3,-0.4,-1.686,-0.016,-0.0232,37
1641708,Amen Thompson,HOU,Tier4,15.25,32.3,33.1,69,7,12.1,0.58,14.1,15.7,1.6,0.44,0.0816,0.602,0.545,-0.057,-0.41,-0.0476,3.8,3.3,-0.5,0.017,0.0014,0.225,0.203,0.022,0.154,0.0036,8.2,6.9,-1.3,-1.16,-0.0841,1.4,1.7,0.3,1.287,0.0187,1.3,0.9,-0.4,-1.13,-0.0164,-0.0428,38
1630583,Santi Aldama,MEM,Tier4,13.815,25.5,30.4,65,4,11.0,0.3,12.5,13.0,0.5,0.0,0.0,0.588,0.591,0.003,0.527,0.0253,2.9,1.8,-1.1,-0.83,-0.0436,0.135,0.114,0.021,0.339,0.0041,6.4,6.0,-0.4,-0.469,-0.0176,0.8,0.0,-0.8,-2.268,-0.017,0.4,0.3,-0.1,-0.674,-0.0051,-0.0538,39
1626171,Bobby Portis,MIL,Tier4,14.155,25.4,31.7,49,5,13.6,0.4,13.9,14.0,0.1,-0.083,-0.0132,0.542,0.511,-0.031,-0.302,-0.0242,2.1,1.4,-0.7,-0.443,-0.031,0.173,0.162,0.011,0.045,0.0007,8.4,8.2,-0.2,-0.136,-0.0068,0.7,0.4,-0.3,-0.768,-0.0077,0.5,0.4,-0.1,-0.582,-0.0058,-0.088,40
201143,Al Horford,BOS,Tier4,11.585,27.6,31.6,60,11,6.5,0.87,9.0,8.0,-1.0,-0.651,-0.2266,0.563,0.586,0.023,0.727,0.0709,2.1,1.8,-0.3,0.046,0.0056,0.123,0.074,0.049,0.947,0.033,6.2,6.0,-0.2,-0.3,-0.0326,0.6,0.6,0.0,0.12,0.0026,0.9,1.3,0.4,1.939,0.0422,-0.105,41
203501,Tim Hardaway Jr.,DET,Tier4,11.93,28.0,31.4,77,6,11.8,0.47,11.0,12.0,1.0,0.113,0.017,0.567,0.477,-0.09,-1.162,-0.1092,1.6,1.2,-0.4,-0.14,-0.0115,0.073,0.155,-0.082,-1.655,-0.0389,2.4,2.8,0.4,-0.033,-0.0019,0.5,0.3,-0.2,-0.523,-0.0062,0.1,0.0,-0.1,-0.953,-0.0112,-0.1618,42
1627827,Dorian Finney-Smith,LAL,Tier4,11.325,28.9,33.9,63,5,5.8,0.42,8.7,6.2,-2.5,-1.177,-0.1978,0.604,0.534,-0.07,-0.619,-0.052,1.4,2.6,1.2,1.79,0.1053,0.11,0.094,0.016,0.292,0.0049,3.9,4.2,0.3,-0.013,-0.0007,0.9,0.2,-0.7,-1.93,-0.0203,0.4,0.4,0.0,-0.244,-0.0026,-0.1631,43
201950,Jrue Holiday,BOS,Tier4,12.82,30.6,33.0,62,8,7.5,0.66,11.1,9.5,-1.6,-0.775,-0.2046,0.565,0.578,0.013,0.569,0.0421,3.9,4.0,0.1,0.763,0.0705,0.171,0.232,-0.061,-1.444,-0.0477,4.3,4.1,-0.2,-0.442,-0.0364,1.1,0.9,-0.2,-0.337,-0.0056,0.4,0.1,-0.3,-1.535,-0.0253,-0.207,44
1628969,Mikal Bridges,NYK,Tier4,16.055,37.0,39.2,82,18,14.6,1.0,17.6,15.6,-2.0,-0.659,-0.2635,0.585,0.518,-0.067,-0.673,-0.1346,3.7,2.9,-0.8,-0.362,-0.0633,0.161,0.186,-0.025,-0.674,-0.0337,3.2,4.5,1.3,0.853,0.0853,0.9,1.7,0.8,2.5,0.0625,0.5,0.9,0.4,1.568,0.0392,-0.3083,45
1641764,Brandin Podziemski,GSW,Tier4,13.035,26.8,32.1,64,12,11.0,0.96,11.7,11.3,-0.4,-0.34,-0.1306,0.557,0.473,-0.084,-1.115,-0.2142,3.4,3.1,-0.3,0.211,0.0284,0.165,0.171,-0.006,-0.29,-0.0139,5.1,5.0,-0.1,-0.29,-0.0348,1.1,1.3,0.2,0.888,0.0213,0.2,0.2,0.0,-0.43,-0.0103,-0.3541,46
